t,AccG_X,AccG_Y,AccG_Z,Brake,Clutch,ERSCurrentKJ,ERSDelivery,ERSHeatCharging,ERSMaxJ,ERSRecovery,Gas,Gear,KersCharge,KersInput,LapCount,RPM,RideHeight_F,RideHeight_R,SlipAngle_FL,SlipAngle_FR,SlipAngle_RL,SlipAngle_RR,SlipRatio_FL,SlipRatio_FR,SlipRatio_RL,SlipRatio_RR,SpeedKMH,SpeedMPH,SpeedMS,carName,graphics.bestTime,graphics.completedLaps,graphics.currentTime,graphics.isInPit,graphics.lastTime,graphics.position,graphics.session,graphics.sessionTimeLeft,graphics.tyreCompound,inPit,physics.abs,physics.brake,physics.carDamage0,physics.carDamage1,physics.carDamage2,physics.carDamage3,physics.carDamage4,physics.fuel,physics.gas,physics.rpms,physics.speedKmh,physics.tc,physics.tyreWear0,physics.tyreWear1,physics.tyreWear2,physics.tyreWear3,static.hasExtraLap,static.isTimedRace,static.maxFuel,static.maxRpm,static.playerNick,static.track,tyreCompound
1.0,0.20875965144009812,0.1,0.0,0.0,0.0,2139.51294748825,2.0,1.0,4000000.0,1.0,0.5835038605760392,5,0.5348782368720626,0.0,0,7975,0.06139173100960065,0.07667007721152078,0.03406175940450373,0.03406175940450373,0.027249407523602987,0.027249407523602987,0.0007882864319328007,0.0008758738132586674,0.024303615617626104,0.024347409308289037,239.12412618674134,148.58479741278165,66.42336838520592,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:999,0,1:31:200,1,2,1799000.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.973333333333336,0.5835038605760392,7975,239.12412618674134,0.2,99.95,99.95,99.94,99.94,0,1,60.0,8500,Tester,spa,Soft
1.1,0.22947875442605709,0.1,0.0,0.0,0.0,2153.438056253637,2.0,1.0,4000000.0,1.0,0.5917915017704228,5,0.5383595140634093,0.0,0,7970,0.061529858362840376,0.07683583003540845,0.04120066493706487,0.04120066493706487,0.03296053194965189,0.03296053194965189,0.0009535011028292155,0.0010594456698102394,0.024837050307608178,0.024890022591098692,238.94055433018977,148.47073118470436,66.3723762028305,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:099,0,1:31:200,1,2,1798900.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.970666666666666,0.5917915017704228,7970,238.94055433018977,0.2,99.945,99.945,99.934,99.934,0,1,60.0,8500,Tester,spa,Soft
1.2,0.25015312007415336,0.1,0.0,0.0,0.0,2167.3556866646313,2.0,1.0,4000000.0,1.0,0.6000612480296613,5,0.5418389216661578,0.0,0,7964,0.06166768746716102,0.07700122496059322,0.04901387025323256,0.04901387025323256,0.03921109620258605,0.03921109620258605,0.0011343209972890964,0.0012603566636545515,0.02538884225120646,0.025451860084389186,238.73964333634544,148.3458909195483,66.31656759342928,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:200,0,1:31:200,1,2,1798800.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.968,0.6000612480296613,7964,238.73964333634544,0.2,99.94,99.94,99.928,99.928,0,1,60.0,8500,Tester,spa,Soft
1.3,0.27077871787583996,0.1,0.0,0.0,0.0,2181.2651603955605,2.0,1.0,4000000.0,1.0,0.608311487150336,5,0.54531629009889,0.0,0,7958,0.0618051914525056,0.07716622974300671,0.0574998521531489,0.0574998521531489,0.04599988172251912,0.04599988172251912,0.0013307108641157318,0.0014785676267952575,0.025958883875488226,0.02603281225682799,238.52143237320473,148.2103009551706,66.25595343700131,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:300,0,1:31:200,1,2,1798700.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.965333333333334,0.608311487150336,7958,238.52143237320473,0.2,99.935,99.935,99.922,99.922,0,1,60.0,8500,Tester,spa,Soft
1.4,0.29135152682995796,0.1,0.0,0.0,0.0,2195.1657995182986,2.0,1.0,4000000.0,1.0,0.6165406107319832,5,0.5487914498795747,0.0,0,7952,0.06194234351219972,0.07733081221463967,0.06665695627782964,0.06665695627782964,0.05332556502226371,0.05332556502226371,0.0015426324167154858,0.001714036018572762,0.026547064049709367,0.026632765850638004,238.28596398142724,148.06398772510343,66.19054555039645,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:400,0,1:31:200,1,2,1798600.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.962666666666664,0.6165406107319832,7952,238.28596398142724,0.2,99.93,99.93,99.916,99.916,0,1,60.0,8500,Tester,spa,Soft
1.5,0.31186753622663904,0.1,0.0,0.0,0.0,2209.056926535307,2.0,1.0,4000000.0,1.0,0.6247470144906556,5,0.5522642316338268,0.0,0,7945,0.06207911690817759,0.07749494028981312,0.07648339743168009,0.07648339743168009,0.061186717945344075,0.061186717945344075,0.0017700443405617393,0.001966715933957488,0.02715326810697946,0.027251603903677337,238.0332840660425,147.9069797534009,66.12035668501181,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:500,0,1:31:200,1,2,1798500.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.96,0.6247470144906556,7945,238.0332840660425,0.2,99.925,99.925,99.91,99.91,0,1,60.0,8500,Tester,spa,Soft
1.6,0.332322746429201,0.1,0.0,0.0,0.0,2222.9378644126514,2.0,1.0,4000000.0,1.0,0.6329290985716804,5,0.5557344661031628,0.0,0,7937,0.06221548497619467,0.0776585819714336,0.08697725993052896,0.08697725993052896,0.06958180794442317,0.06958180794442317,0.0020129023012493844,0.002236558112499316,0.027777377866616465,0.02788920577224143,237.76344188750068,147.73930764907817,66.04540052430575,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:600,0,1:31:200,1,2,1798400.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.95733333333333,0.6329290985716804,7937,237.76344188750068,0.2,99.92,99.92,99.904,99.904,0,1,60.0,8500,Tester,spa,Soft
1.7,0.3527131696538851,0.1,0.0,0.0,0.0,2236.807936613002,2.0,1.0,4000000.0,1.0,0.6410852678615541,5,0.5592019841532505,0.0,0,7929,0.062351421131025896,0.07782170535723108,0.09813649797508839,0.09813649797508839,0.07850919838007071,0.07850919838007071,0.00227115895313776,0.0025235099479308442,0.02841927165718609,0.028545447154582633,237.47649005206915,147.56100410014426,65.96569168113032,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:700,0,1:31:200,1,2,1798300.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.95466666666667,0.6410852678615541,7929,237.47649005206915,0.2,99.915,99.915,99.898,99.898,0,1,60.0,8500,Tester,spa,Soft
1.8,0.37303483074728216,0.1,0.0,0.0,0.0,2250.6664671286085,2.0,1.0,4000000.0,1.0,0.6492139322989129,5,0.5626666167821521,0.0,0,7921,0.062486898871648544,0.07798427864597826,0.10995893604979123,0.10995893604979123,0.08796714883983299,0.08796714883983299,0.002544763948580883,0.002827515498423203,0.02907882434022204,0.029220200115143202,237.1724845015768,147.37210386722927,65.88124569488244,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:800,0,1:31:200,1,2,1798200.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.952,0.6492139322989129,7921,237.1724845015768,0.2,99.91,99.91,99.892,99.892,0,1,60.0,8500,Tester,spa,Soft
1.9,0.39328376796129727,0.1,0.0,0.0,0.0,2264.5127805142447,2.0,1.0,4000000.0,1.0,0.6573135071845189,5,0.5661281951285613,0.0,0,7912,0.06262189178640865,0.07814627014369037,0.12244226934691005,0.12244226934691005,0.09795381547752804,0.09795381547752804,0.0028336639477427755,0.0031485154974919727,0.029755907334621925,0.029913333109496523,236.85148450250801,147.17264377680792,65.79207902847445,ks_lamborghini_huracan_gt3,1:30:000,0,0:01:900,0,1:31:200,1,2,1798100.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.949333333333335,0.6573135071845189,7912,236.85148450250801,0.2,99.905,99.905,99.886,99.886,0,1,60.0,8500,Tester,spa,Soft
2.0,0.41345603372549883,0.1,0.0,0.0,0.0,2278.3462019201306,2.0,1.0,4000000.0,1.0,0.6653824134901996,5,0.5695865504800327,0.0,0,7903,0.06275637355816999,0.07830764826980399,0.13558406421588387,0.13558406421588387,0.1084672513727071,0.1084672513727071,0.0031378026289961697,0.0034864473655512995,0.030450388641714413,0.03062471100999198,236.5135526344487,146.96266271402,65.69820906512464,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:000,0,1:31:200,1,2,1798000.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.946666666666665,0.6653824134901996,7903,236.5135526344487,0.2,99.9,99.9,99.88,99.88,0,1,60.0,8500,Tester,spa,Soft
2.1,0.4335476954167075,0.1,0.0,0.0,0.0,2292.1660571248235,2.0,1.0,4000000.0,1.0,0.673419078166683,5,0.5730415142812059,0.0,0,7893,0.06289031796944472,0.07846838156333366,0.14938175863776504,0.14938175863776504,0.11950540691021204,0.11950540691021204,0.0034571206999025623,0.003841245222113958,0.031162132870992676,0.031354195132098375,236.15875477788603,146.7422016150898,65.59965410496834,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:100,0,1:31:200,1,2,1797900.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.944,0.673419078166683,7893,236.15875477788603,0.2,99.895,99.895,99.874,99.874,0,1,60.0,8500,Tester,spa,Soft
2.2,0.4535548361256668,0.1,0.0,0.0,0.0,2305.9716725680764,2.0,1.0,4000000.0,1.0,0.6814219344502668,5,0.5764929181420191,0.0,0,7882,0.06302369890750445,0.07862843868900533,0.16383266272468577,0.16383266272468577,0.13106613017974864,0.13106613017974864,0.0037915559087712994,0.004212839898634777,0.03189100126650893,0.03210164326144066,235.78716010136523,146.5113034593454,65.49643336149035,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:200,0,1:31:200,1,2,1797800.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.94133333333333,0.6814219344502668,7882,235.78716010136523,0.2,99.89,99.89,99.868,99.868,0,1,60.0,8500,Tester,spa,Soft
2.3,0.47347355542065384,0.1,0.0,0.0,0.0,2319.76237538367,2.0,1.0,4000000.0,1.0,0.6893894221682615,5,0.5799405938459175,0.0,0,7872,0.06315649036947102,0.07878778844336523,0.17893395924426214,0.17893395924426214,0.14314716739540972,0.14314716739540972,0.00414104305679578,0.004601158951995312,0.032636851733925304,0.03286690968152507,235.3988410480047,146.27001326083973,65.38856695777908,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:300,0,1:31:200,1,2,1797700.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.93866666666667,0.6893894221682615,7872,235.3988410480047,0.2,99.885,99.885,99.862,99.862,0,1,60.0,8500,Tester,spa,Soft
2.4,0.49329997010787496,0.1,0.0,0.0,0.0,2333.537493432205,2.0,1.0,4000000.0,1.0,0.69731998804315,5,0.5833843733580512,0.0,0,7860,0.06328866646738583,0.078946399760863,0.1946827041688165,0.1946827041688165,0.1557461633350532,0.1557461633350532,0.004505514010764039,0.00500612667862671,0.03339953886821538,0.033649845202146714,234.9938733213733,146.01837805957504,65.2760759226037,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:400,0,1:31:200,1,2,1797600.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.936,0.69731998804315,7860,234.9938733213733,0.2,99.88,99.88,99.856,99.856,0,1,60.0,8500,Tester,spa,Soft
2.5,0.5130302149885032,0.1,0.0,0.0,0.0,2347.2963553338604,2.0,1.0,4000000.0,1.0,0.7052120859954013,5,0.5868240888334652,0.00521208599540135,0,7849,0.06342020143325669,0.07910424171990803,0.2110758272493205,0.2110758272493205,0.1688606617994564,0.1688606617994564,0.004884897716341418,0.0054276641292682415,0.034178913982011117,0.034450297188474525,234.57233587073176,145.75644691233248,65.15898218631438,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:500,0,1:31:200,1,2,1797500.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.93333333333333,0.7052120859954013,7849,234.57233587073176,0.2,99.875,99.875,99.85,99.85,0,1,60.0,8500,Tester,spa,Soft
2.6,0.5326604436122058,0.1,0.0,0.0,0.0,2361.03829050112,2.0,1.0,4000000.0,1.0,0.7130641774448823,5,0.5902595726252801,0.013064177444882308,0,7837,0.06355106962408137,0.07926128354889764,0.22811013261394986,0.22811013261394986,0.1824881060911599,0.1824881060911599,0.0052791202119228395,0.00586568912435871,0.034974825134589875,0.03526810959080781,234.1343108756413,145.4842708831081,65.03730857656703,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:600,0,1:31:200,1,2,1797400.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.93066666666667,0.7130641774448823,7837,234.1343108756413,0.2,99.87,99.87,99.844,99.844,0,1,60.0,8500,Tester,spa,Soft
2.7,0.5521868290270171,0.1,0.0,0.0,0.0,2374.762629171449,2.0,1.0,4000000.0,1.0,0.7208747316108068,5,0.5936906572928623,0.020874731610806885,0,7824,0.06368124552684679,0.07941749463221613,0.24578229939112028,0.24578229939112028,0.19662583951289625,0.19662583951289625,0.005688104643051641,0.006320116270057378,0.03578711716149539,0.03610312297499826,233.67988372994262,145.20190303315817,64.91107881387295,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:700,0,1:31:200,1,2,1797300.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.928,0.7208747316108068,7824,233.67988372994262,0.2,99.865,99.865,99.838,99.838,0,1,60.0,8500,Tester,spa,Soft
2.8,0.5716055645254113,0.1,0.0,0.0,0.0,2388.4687024399436,2.0,1.0,4000000.0,1.0,0.7286422258101646,5,0.597117175609986,0.028642225810164623,0,7811,0.06381070376350274,0.07957284451620329,0.26408888235690364,0.26408888235690364,0.21127110588552292,0.21127110588552292,0.006111771277402627,0.0067908569748918075,0.03661563170478757,0.03695517455353216,233.2091430251082,144.90939841065452,64.7803175069745,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:800,0,1:31:200,1,2,1797200.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.925333333333334,0.7286422258101646,7811,233.2091430251082,0.2,99.86,99.86,99.832,99.832,0,1,60.0,8500,Tester,spa,Soft
2.9,0.5909128643864269,0.1,0.0,0.0,0.0,2402.1558422919297,2.0,1.0,4000000.0,1.0,0.7363651457545708,5,0.6005389605729824,0.03636514575457084,0,7797,0.06393941909590951,0.07972730291509142,0.28302631260667965,0.28302631260667965,0.22642105008534374,0.22642105008534374,0.006550037520326015,0.007277819467028905,0.037460207243914634,0.037824098217266074,232.7221805329711,144.60681403995278,64.64505014804753,ks_lamborghini_huracan_gt3,1:30:000,0,0:02:900,0,1:31:200,1,2,1797100.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.922666666666665,0.7363651457545708,7797,232.7221805329711,0.2,99.855,99.855,99.826,99.826,0,1,60.0,8500,Tester,spa,Soft
3.0,0.6101049646137005,0.1,0.0,0.0,0.0,2415.8233816355187,2.0,1.0,4000000.0,1.0,0.7440419858454802,5,0.6039558454088797,0.04404198584548025,0,7783,0.064067366430758,0.0798808397169096,0.30259089825089736,0.30259089825089736,0.24207271860071788,0.24207271860071788,0.007002817930949338,0.007780908812165931,0.03832067912720173,0.03870972456781003,232.21909118783407,144.29420891047565,64.50530310773168,ks_lamborghini_huracan_gt3,1:30:000,0,0:03:000,0,1:31:200,1,2,1797000.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.92,0.7440419858454802,7783,232.21909118783407,0.2,99.85,99.85,99.82,99.82,0,1,60.0,8500,Tester,spa,Soft
3.1,0.629178123669266,0.1,0.0,0.0,0.0,2429.4706543341267,2.0,1.0,4000000.0,1.0,0.7516712494677064,5,0.6073676635835317,0.051671249467706404,0,7769,0.06419452082446177,0.08003342498935412,0.3227788251348196,0.3227788251348196,0.2582230601078557,0.2582230601078557,0.007470024238834396,0.008300026932038218,0.039196879603950296,0.03961188095055221,231.6999730679618,143.97164396521248,64.36110362998939,ks_lamborghini_huracan_gt3,1:30:000,0,0:03:100,0,1:31:200,1,2,1796900.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.91733333333333,0.7516712494677064,7769,231.6999730679618,0.2,99.845,99.845,99.814,99.814,0,1,60.0,8500,Tester,spa,Soft
3.2,0.6481286232029737,0.1,0.0,0.0,0.0,2443.0969952389346,2.0,1.0,4000000.0,1.0,0.7592514492811895,5,0.6107742488097336,0.05925144928118953,0,7754,0.06432085748801983,0.08018502898562378,0.3435861575821021,0.3435861575821021,0.2748689260656817,0.2748689260656817,0.007951565361185792,0.008835072623539768,0.04008863785714133,0.040530391488318315,231.16492737646024,143.63918208883848,64.2124798267945,ks_lamborghini_huracan_gt3,1:30:000,0,0:03:200,0,1:31:200,1,2,1796800.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.91466666666667,0.7592514492811895,7754,231.16492737646024,0.2,99.84,99.84,99.808,99.808,0,1,60.0,8500,Tester,spa,Soft
3.3,0.6669527687773915,0.1,0.0,0.0,0.0,2456.701740221312,2.0,1.0,4000000.0,1.0,0.7667811075109565,5,0.6141754350553279,0.06678110751095656,0,7739,0.06444635179184928,0.08033562215021912,0.3650088391620556,0.3650088391620556,0.2920070713296445,0.2920070713296445,0.008447347420607572,0.009385941578452859,0.04099578003673641,0.04146507711565905,230.61405842154713,143.29688809545516,64.05946067265198,ks_lamborghini_huracan_gt3,1:30:000,0,0:03:300,0,1:31:200,1,2,1796700.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.912,0.7667811075109565,7739,230.61405842154713,0.2,99.835,99.835,99.802,99.802,0,1,60.0,8500,Tester,spa,Soft
3.4,0.6856468905880416,0.1,0.0,0.0,0.0,2470.2842262051804,2.0,1.0,4000000.0,1.0,0.7742587562352166,5,0.6175710565512951,0.0742587562352166,0,7723,0.06457097927058694,0.08048517512470434,0.38704269348045905,0.38704269348045905,0.3096341547843673,0.3096341547843673,0.008957273763404909,0.009952526403783232,0.04191812929357022,0.04241575561375938,230.04747359621678,142.94482871595483,63.9020759989491,ks_lamborghini_huracan_gt3,1:30:000,0,0:03:400,0,1:31:200,1,2,1796600.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.909333333333336,0.7742587562352166,7723,230.04747359621678,0.2,99.83,99.83,99.796,99.796,0,1,60.0,8500,Tester,spa,Soft
3.5,0.7042073441788365,0.1,0.0,0.0,0.0,2483.843791199336,2.0,1.0,4000000.0,1.0,0.7816829376715346,5,0.6209609477998339,0.08168293767153467,0,7707,0.0646947156278589,0.08063365875343069,0.40968342499375554,0.40968342499375554,0.3277467399950045,0.3277467399950045,0.009481244978426914,0.01053471664269657,0.04285550581382762,0.043382241645962445,229.46528335730343,142.583072585011,63.74035648813984,ks_lamborghini_huracan_gt3,1:30:000,0,0:03:500,0,1:31:200,1,2,1796500.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.906666666666666,0.7816829376715346,7707,229.46528335730343,0.2,99.825,99.825,99.79,99.79,0,1,60.0,8500,Tester,spa,Soft
3.6,0.7226305111525733,0.1,0.0,0.0,0.0,2497.37977432971,2.0,1.0,4000000.0,1.0,0.7890522044610293,5,0.6243449435824274,0.08905220446102935,0,7690,0.06481753674101715,0.08078104408922059,0.43292661984647784,0.43292661984647784,0.3463412958771823,0.3463412958771823,0.010019158916447057,0.011132398796052287,0.043807726854098686,0.044364346793901305,228.86760120394771,142.2116902276982,63.574333667763256,ks_lamborghini_huracan_gt3,1:30:000,0,0:03:600,0,1:31:200,1,2,1796400.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.904,0.7890522044610293,7690,228.86760120394771,0.2,99.82,99.82,99.784,99.784,0,1,60.0,8500,Tester,spa,Soft
